decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
IK3STG;PA5XM;14027.0;20M;3;2016-02-14 13:32;Netherlands;  EU;CW;EU;EU;Italy;  EU;CQ
IK3STG;YO3AAJ;7016.0;40M;24;2016-02-14 13:32;Romania;  EU;CW;EU;EU;Italy;  EU;CQ
IK3STG;DL4CF;7026.0;40M;31;2016-02-14 13:32;Fed. Rep. of Germany;  EU;CW;EU;EU;Italy;  EU;CQ
HA2KSD;LZ5R;7006.1;40M;5;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Hungary;  EU;CQ
HA2KSD;LZ5R;7005.8;40M;43;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Hungary;  EU;CQ
VK4CT;HK1ANP;21018.9;15M;8;2016-02-14 13:32;Colombia;  SA;CW;OC;SA;Australia;  OC;CQ
DK9IP;LZ5R;7005.8;40M;18;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DK9IP;F3JB;28003.0;10M;6;2016-02-14 13:32;France;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
S50ARX;IK5FKF;14082.1;20M;17;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;RW0A;28085.9;10M;9;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;IZ1JLN;7044.1;40M;45;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;OH5C;14106.0;20M;29;2016-02-14 13:32;Finland;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;PD2GSP;14090.2;20M;36;2016-02-14 13:32;Netherlands;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;LZ5R;7005.8;40M;34;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Slovenia;  EU;CQ
S50ARX;K1SFA;28088.8;10M;21;2016-02-14 13:32;United States;  NA;RTTY;EU;NA;Slovenia;  EU;CQ
S50ARX;PA5XM;14027.0;20M;8;2016-02-14 13:32;Netherlands;  EU;CW;EU;EU;Slovenia;  EU;CQ
S50ARX;YU1AHW;7036.5;40M;32;2016-02-14 13:32;Serbia;  EU;CW;EU;EU;Slovenia;  EU;CQ
S50ARX;R8VK;21082.0;15M;21;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
TF3Y;N1IYH;18088.5;17M;25;2016-02-14 13:32;United States;  NA;CW;EU;NA;Iceland;  EU;CQ
TF3Y;SP6J;21049.0;15M;20;2016-02-14 13:32;Poland;  EU;CW;EU;EU;Iceland;  EU;CQ
